Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Han shu,漢書,History of the Han,,正史,,Eastern Han,班固,Ban Gu,,,,,,,,,,,,,,豫章郡,Yuzhang jun,Yuzhang Commandery,,,,China Text Project,,https://ctext.org/han-shu/di-li-zhi#n64209,,
Nongsang jiyao,農桑輯要,Essentials of Agriculture and Sericulture,,農家,,1273,司農司,Board of Agriculture,,,,,,欽定四庫全書,,,,,,,,插杉,cha shan,planting firs,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=210722#%E6%9D%BE,,
Nongsang jiyao,農桑輯要,Essentials of Agriculture and Sericulture,,農家,,1273,司農司,Board of Agriculture,,,,,,,,,,,,,,插杉,cha shan,planting firs,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%BE%B2%E6%A1%91%E8%BC%AF%E8%A6%81/%E5%8D%B7%E4%B9%8B%E5%85%AD,,
Zuiwei lu,罪惟録,,,野史,,明,查繼佐,Cha Jizuo,,,,,,吳興劉氏嘉業堂藏手稿本,,,,,,,,播州楊氏,Bozhou Yang shi,biography of the Bozhou Yang house,,,,Wikisource,,https://zh.wikisource.org/wiki/%E7%BD%AA%E6%83%9F%E9%8C%84_(%E5%9B%9B%E9%83%A8%E5%8F%A2%E5%88%8A%E6%9C%AC)/%E5%88%97%E5%82%B3%E5%8D%B7%E4%B8%89%E5%8D%81%E5%9B%9B,,
Tang lü shuyi,唐律疏議,Tang Code With Commentary,,政書,,653,長孫無忌,Chansun Wuji,,,,,,,,,,,,,,山野物已加功力,shanye wu yi jiagongli,Wildland Products with Labor Already Invested,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%94%90%E5%BE%8B%E7%96%8F%E8%AD%B0/%E5%8D%B7%E7%AC%AC%E4%BA%8C%E5%8D%81#291_%E5%B1%B1%E9%87%8E%E7%89%A9%E5%B7%B2%E5%8A%A0%E5%8A%9F%E5%8A%9B,,
Tang lü shuyi,唐律疏議,Tang Code With Commentary,,政書,,653,長孫無忌,Chansun Wuji,,,,,,,,,,,,,,占山野陂湖利,zhan shanye pohu li,Monopolizing the Bounties of Wildlands and Wetlands,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%94%90%E5%BE%8B%E7%96%8F%E8%AD%B0/%E5%8D%B7%E7%AC%AC%E4%BA%8C%E5%8D%81%E5%85%AD#405_%E5%8D%A0%E5%B1%B1%E9%87%8E%E9%99%82%E6%B9%96%E5%88%A9,,
Bamin tongzhi,八閩通志,,,地方誌,福建,1491,陳道修,Chen Dao,,黄促昭纂,Huang Zuzhao,,,明弘治刻本,,,,,,,,田土,tiantu,landholdings,,,,LoGaRT,中國方志庫一集,,,
Nanhai zhi,南海志,,,地方誌,廣東,1304,陳大震修,Chen Dazhen,,吕桂孫纂,Lu Guisun,,,元大德刻本,,,,,,,,戶口,hukou,demographics,,,,LoGaRT,中國方志庫一集,,,
Chunxi Sanshan zhi,淳熙三山志,,,地方誌,福州,1182,陳傅良,Chen Fulang,,梁克家,Liang Kejia,,,,,,,,,,,版籍类,banji lei,Registers,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%B7%B3%E7%86%99%E4%B8%89%E5%B1%B1%E5%BF%97/%E5%8D%B710,,
Jiajing Changde fuzhi,嘉靖常德府志,,,地方誌,常德,1547,陳洪謨,Chen Hongmo,,,,,,明嘉靖刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
